datetime,time,cat,z,G_rsun,Sin,alpha,Sout,Snet,Lin,Lout,Lnet,Rnet,T2m,Ts,H,LE,Qt,Qg,Qm,ablation_mm,ST,Rib,date
2019-07-07 00:00:00,00:00:00,34,2445.0,497.25,0.0,0.2053783,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.853,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.7114553986959609,2019-07-07
2019-07-07 00:00:00,00:00:00,35,2455.0,497.75,0.0,0.2049792,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.788,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.701596096037527,2019-07-07
2019-07-07 00:00:00,00:00:00,36,2469.0,498.45,0.0,0.20442046000000003,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.697000000000001,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6877854594660147,2019-07-07
2019-07-07 00:00:00,00:00:00,37,2494.0,499.7,0.0,0.20342271,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.5345,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6631014926972156,2019-07-07
2019-07-07 00:00:00,00:00:00,38,2533.0,501.65000000000003,0.0,0.20186622,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.281,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6245377865888169,2019-07-07
2019-07-07 00:00:00,00:00:00,39,2639.0,506.95,0.0,0.19763576,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,8.592,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.5193729804335259,2019-07-07
2019-07-07 00:00:00,00:00:00,40,2666.0,508.29999999999995,0.0,0.19655819000000002,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,8.416500000000001,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.49250347295146,2019-07-07
2019-07-07 00:00:00,00:00:00,41,2350.0,492.5,0.0,0.20916975000000002,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,10.4705,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.80489338384842,2019-07-07
2019-07-07 00:00:00,00:00:00,42,2358.0,492.9,0.0,0.20885047,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,10.4185,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.7970406134411652,2019-07-07
2019-07-07 00:00:00,00:00:00,43,2415.0,495.75,0.0,0.2065756,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,10.048,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.7410061516204718,2019-07-07
2019-07-07 00:00:00,00:00:00,44,2469.0,498.45,0.0,0.20442046000000003,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.697000000000001,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6877854594660147,2019-07-07
2019-07-07 00:00:00,00:00:00,45,2484.0,499.2,0.0,0.20382181,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.5995,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6729784840958275,2019-07-07
2019-07-07 00:00:00,00:00:00,46,2509.0,500.44999999999993,0.0,0.20282406,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.437,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.648277486040176,2019-07-07
2019-07-07 00:00:00,00:00:00,47,2523.0,501.15,0.0,0.20226532,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.346,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6344325143738436,2019-07-07
2019-07-07 00:00:00,00:00:00,48,2532.0,501.6,0.0,0.20190613000000002,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.2875,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.625527464312334,2019-07-07
2019-07-07 00:00:00,00:00:00,49,2610.0,505.49999999999994,0.0,0.19879315,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,8.7805,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.5481955609099234,2019-07-07
2019-07-07 00:00:00,00:00:00,50,2650.0,507.49999999999994,0.0,0.19719675,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,8.5205,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.5084301859057534,2019-07-07
2019-07-07 00:00:00,00:00:00,51,2357.0,492.85,0.0,0.20889038000000001,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,10.425,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.798022367240553,2019-07-07
2019-07-07 00:00:00,00:00:00,52,2372.0,493.59999999999997,0.0,0.20829173,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,10.3275,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.7832913329118154,2019-07-07
2019-07-07 00:00:00,00:00:00,53,2442.0,497.09999999999997,0.0,0.20549803,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.8725,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.7144123064070846,2019-07-07
2019-07-07 00:00:00,00:00:00,54,2529.0,501.44999999999993,0.0,0.20202586,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.307,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.628496224185136,2019-07-07
2019-07-07 00:00:00,00:00:00,55,2556.0,502.8,0.0,0.20094829000000003,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.1315,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6017626194353713,2019-07-07
2019-07-07 00:00:00,00:00:00,56,2532.0,501.6,0.0,0.20190613000000002,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.2875,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.625527464312334,2019-07-07
2019-07-07 00:00:00,00:00:00,57,2536.0,501.8,0.0,0.20174649,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.2615,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.621568480076484,2019-07-07
2019-07-07 00:00:00,00:00:00,58,2534.0,501.70000000000005,0.0,0.20182631,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.2745,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.623548063310433,2019-07-07
2019-07-07 00:00:00,00:00:00,59,2579.0,503.95,0.0,0.20003036000000002,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,8.982,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.5789633154417977,2019-07-07
2019-07-07 00:00:00,00:00:00,60,2612.0,505.6,0.0,0.19871333000000002,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,8.7675,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.5462090341671506,2019-07-07
2019-07-07 00:00:00,00:00:00,61,2373.0,493.65,0.0,0.20825182,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,10.321,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.7823089036545547,2019-07-07
2019-07-07 00:00:00,00:00:00,62,2397.0,494.85,0.0,0.20729398000000002,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,10.165000000000001,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.758717077755471,2019-07-07
2019-07-07 00:00:00,00:00:00,63,2511.0,500.55000000000007,0.0,0.20274424000000002,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.424,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6463001788994664,2019-07-07
2019-07-07 00:00:00,00:00:00,64,2479.0,498.95,0.0,0.20402135999999998,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.632,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6779152770582875,2019-07-07
2019-07-07 00:00:00,00:00:00,65,2475.0,498.75,0.0,0.204181,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.658,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.681863894471484,2019-07-07
2019-07-07 00:00:00,00:00:00,66,2506.0,500.29999999999995,0.0,0.20294379,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.4565,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.651243105663109,2019-07-07
2019-07-07 00:00:00,00:00:00,67,2525.0,501.25,0.0,0.20218550000000002,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.333,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6324539331048444,2019-07-07
2019-07-07 00:00:00,00:00:00,68,2515.0,500.75,0.0,0.2025846,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.398,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6423450187640434,2019-07-07
2019-07-07 00:00:00,00:00:00,69,2546.0,502.29999999999995,0.0,0.20134739000000001,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.1965,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6116678295450195,2019-07-07
