datetime,date,time,cat,z,G_rsun,Sin,alpha,Sout,Snet,Lin,Lout,Lnet,Rnet,T2m,Ts,H,LE,Qt,Qg,Qm,ablation_mm,ST,Rib
2019-07-07 11:00:00,2019-07-07,11:00:00,1,2635.0,506.75000000000006,890.5,0.23879262,212.64482811000002,677.85517189,301.4795000080435,315.6578223008046,-14.178322292761095,663.6768495972389,14.265,0.0,21.702314475793138,1.1517700965315876,0,24.444444444444443,710.975378614008,3.831603836841959,0,0.333186209981981
2019-07-07 11:30:00,2019-07-07,11:30:00,1,2635.0,506.75000000000006,981.2,0.25882296,253.957088352,727.242911648,315.3453912048708,315.6578223008046,-0.31243109593378904,726.9304805520662,17.023999999999997,0.0,28.286543775468154,1.5035230294420643,0,24.444444444444443,781.1649918014209,4.209871213301071,0,0.3339251492571143
2019-07-07 12:00:00,2019-07-07,12:00:00,1,2635.0,506.75000000000006,955.8,0.5943693600000001,568.0982342880001,387.7017657119999,319.5464717246304,315.6578223008046,3.888649423825825,391.5904151358257,16.836,0.0,35.053505307831166,-0.17245066097496403,0,4.444444444444444,430.91591422712634,2.3223013341581655,1,0.3500282580802767
2019-07-07 12:30:00,2019-07-07,12:30:00,1,2635.0,506.75000000000006,1026.5,0.6048695000000001,620.89854175,405.60145824999995,325.73909438902047,315.6578223008046,10.081272088215883,415.68273033821583,18.089,0.0,49.79920607767729,-0.44488719612399136,0,4.444444444444444,469.4814936642136,2.530139786214325,1,0.372594541921345
2019-07-07 13:00:00,2019-07-07,13:00:00,1,2635.0,506.75000000000006,350.0,0.57229644,200.303754,149.696246,337.56873667052986,315.6578223008046,21.910914369725276,171.60716036972528,14.202,0.0,0.0,0.0,0,4.444444444444444,176.05160481416976,0.9487811037889389,1,0.5116359851117042
2019-07-07 13:30:00,2019-07-07,13:30:00,1,2635.0,506.75000000000006,714.6,0.5801820200000001,414.5980714920001,300.00192850799993,327.6272589344154,315.6578223008046,11.969436633610826,311.97136514161076,15.143,0.0,0.0,0.0,0,4.444444444444444,316.41580958605516,1.7052349019607764,1,0.5412579998286431
2019-07-07 14:00:00,2019-07-07,14:00:00,1,2635.0,506.75000000000006,281.1,0.57229644,160.87252928400002,120.227470716,303.85797804667817,315.6578223008046,-11.799844254126413,108.42762646187359,14.202,0.0,0.0,0.0,0,4.444444444444444,112.87207090631806,0.6082925976987201,1,0.633541182339221
2019-07-07 14:30:00,2019-07-07,14:30:00,1,2635.0,506.75000000000006,272.1,0.5680980600000001,154.57948212600004,117.52051787399998,320.8823322246779,315.6578223008046,5.224509923873313,122.74502779787329,13.701,0.0,0.0,0.0,0,4.444444444444444,127.1894722423177,0.685452245617281,1,0.5013241816401551
2019-07-07 15:00:00,2019-07-07,15:00:00,1,2635.0,506.75000000000006,224.9,0.5654667400000001,127.17346982600002,97.72653017399999,327.9768877006684,315.6578223008046,12.319065399863803,110.04559557386379,13.387,0.0,0.0,0.0,0,4.444444444444444,114.49004001830825,0.6170121917154336,1,0.9971278135172381
2019-07-07 15:30:00,2019-07-07,15:30:00,1,2635.0,506.75000000000006,252.1,0.5659946800000001,142.687258828,109.41274117199998,310.7565084131336,315.6578223008046,-4.9013138876709945,104.51142728432899,13.45,0.0,0.0,0.0,0,4.444444444444444,108.95587172877343,0.5871873326700364,1,1.00543598786639
2019-07-07 16:00:00,2019-07-07,16:00:00,1,2635.0,506.75000000000006,382.7,0.57282438,219.219890226,163.480109774,319.1829700633243,315.6578223008046,3.5251477625197367,167.00525753651974,14.265,0.0,0.0,0.0,0,4.444444444444444,171.44970198096416,0.9239804298375314,1,0.6447146228078513
2019-07-07 16:30:00,2019-07-07,16:30:00,1,2635.0,506.75000000000006,275.7,0.5607320400000001,154.593823428,121.10617657199998,320.81256499695814,315.6578223008046,5.154742696153562,126.26091926815354,12.822000000000001,0.0,0.0,0.0,0,4.444444444444444,130.705363712598,0.704400163720588,1,0.5925340222388854
2019-07-07 17:00:00,2019-07-07,17:00:00,1,2635.0,506.75000000000006,214.0,0.55863704,119.54832656,94.45167344,312.1911775532499,315.6578223008046,-3.46664474755471,90.98502869244528,12.572000000000001,0.0,0.0,0.0,0,4.444444444444444,95.42947313688971,0.5142905737916212,1,0.9639998225135434
2019-07-07 17:30:00,2019-07-07,17:30:00,1,2635.0,506.75000000000006,110.6,0.55547778,61.435842468,49.164157532,309.53210602669924,315.6578223008046,-6.1257162741053435,43.038441257894654,12.195,0.0,0.0,0.0,0,4.444444444444444,47.48288570233909,0.25589579121021067,1,0.944513901231578
2019-07-07 18:00:00,2019-07-07,18:00:00,1,2635.0,506.75000000000006,101.6,0.5523269000000001,56.116413040000005,45.48358695999999,318.66715820758577,315.6578223008046,3.009335906781189,48.49292286678118,11.819,0.0,0.0,0.0,0,4.444444444444444,52.9373673112256,0.2852912010784613,1,0.92484366223148
2019-07-07 18:30:00,2019-07-07,18:30:00,1,2635.0,506.75000000000006,72.5,0.5496955800000001,39.852929550000006,32.647070449999994,301.2120518286113,315.6578223008046,-14.44577047219326,18.201299977806734,11.505,0.0,0.0,0.0,0,4.444444444444444,22.645744422251184,0.12204293401213212,1,0.0
2019-07-07 19:00:00,2019-07-07,19:00:00,1,2635.0,506.75000000000006,49.0,0.55284646,27.089476540000003,21.910523459999997,291.2988235843484,315.6578223008046,-24.3589987164562,-2.4484752564562022,11.881,0.0,0.0,0.0,0,4.444444444444444,1.9959691879882238,0.010756720174786833,1,2.8739699565548205
2019-07-07 19:30:00,2019-07-07,19:30:00,1,2635.0,506.75000000000006,34.5,0.5465363200000001,18.855503040000002,15.644496959999998,286.4510670293938,306.5138983970264,-20.06283136763261,-4.418334407632614,11.128,-2.0,0.0,0.0,0,-0.0,0.0,0.0,1,2.746899824279982
2019-07-07 20:00:00,2019-07-07,20:00:00,1,2635.0,506.75000000000006,25.4,0.5444329400000001,13.828596676000002,11.571403323999997,300.68387560567766,315.6578223008046,-14.973946695126926,-3.4025433711269297,10.877,0.0,0.0,0.0,0,4.444444444444444,1.0419010733175336,0.00561503572446575,1,1.7339951259655917
2019-07-07 20:30:00,2019-07-07,20:30:00,1,2635.0,506.75000000000006,7.3,0.5444329400000001,3.9743604620000004,3.3256395379999995,312.1930605461628,315.6578223008046,-3.4647617546417564,-0.13912221664175695,10.877,0.0,0.0,0.0,0,4.444444444444444,4.305322227802706,0.02320233535941578,1,2.740005595415432
2019-07-07 21:00:00,2019-07-07,21:00:00,1,2635.0,506.75000000000006,0.0,0.5423295600000001,0.0,0.0,315.330009517419,315.6578223008046,-0.32781278338558195,-0.32781278338558195,10.626,0.0,0.0,0.0,0,4.444444444444444,4.116631661058862,0.022185440089538776,1,0.0
2019-07-07 21:30:00,2019-07-07,21:30:00,1,2635.0,506.75000000000006,0.0,0.53917868,0.0,0.0,319.30990475647326,315.6578223008046,3.652082455668676,3.652082455668676,10.25,0.0,0.0,0.0,0,4.444444444444444,8.096526900113119,0.04363397730599884,1,2.6545865783499716
2019-07-07 22:00:00,2019-07-07,22:00:00,1,2635.0,506.75000000000006,0.0,0.53601942,0.0,0.0,322.11238208086655,315.6578223008046,6.45455978006197,6.45455978006197,9.873,0.0,0.0,0.0,0,4.444444444444444,10.899004224506413,0.058737148515304025,1,1.6460321317213569
2019-07-07 22:30:00,2019-07-07,22:30:00,1,2635.0,506.75000000000006,0.0,0.53497192,0.0,0.0,307.7079980838819,315.6578223008046,-7.949824216922707,-7.949824216922707,9.748,0.0,0.0,0.0,0,4.444444444444444,0.0,0.0,1,0.0
2019-07-07 23:00:00,2019-07-07,23:00:00,1,2635.0,506.75000000000006,0.0,0.5297092800000001,0.0,0.0,316.0639641752557,315.6578223008046,0.40614187445112293,0.40614187445112293,9.120000000000001,0.0,0.0,0.0,0,4.444444444444444,4.850586318895567,0.0261408843533294,1,1.5658376661582891
2019-07-07 23:30:00,2019-07-07,23:30:00,1,2635.0,506.75000000000006,0.0,0.5307651600000001,0.0,0.0,318.25197823670686,315.6578223008046,2.594155935902279,2.594155935902279,9.246,0.0,0.0,0.0,0,4.444444444444444,7.038600380346723,0.03793257690007216,1,1.5931746693770439
