datetime,time_str,cat,z,r_sun_global_rad,Sin_cell,Sout,Lin,Lout,T2m,Ts,H,LE,Qr,Qg,Qm,ablation_mm
2019-07-07 00:00:00,2019-07-07 00:00,16,2494,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.5345,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,17,2462,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.7425,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,18,2630,0.0,0.0,0.0,257.29925809873646,315.6578223008046,8.650500000000001,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,19,2630,0.0,0.0,0.0,257.29925809873646,315.6578223008046,8.650500000000001,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,20,2604,0.0,0.0,0.0,257.29925809873646,315.6578223008046,8.8195,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,21,2563,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.086,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,22,2556,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.1315,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,23,2549,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.177,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,24,2549,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.177,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,25,2524,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.339500000000001,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,26,2502,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.4825,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,27,2502,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.4825,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,28,2477,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.645,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
