datetime,day_of_year,solar_time,cat,z,ST,SD,Z_sl,nd_aws2,Ta_aws2,Ta_cell,G_rsun,G_AWS2_rsun,Sin_AWS2,Sin_cell,alpha,Sout,Lin,Lout,Snet,Lnet,Rnet,T2m_AWS2,T2m,Ts,wind_speed,RH,pressure,H,LE,Qr,Qg,Qm,ablation_mm
2019-07-07 00:00:00,188,0.0,32,2576,1,0,2402.5,3,35.0,34.3,0.0,0.0,0.0,0.0,0.5774,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.14,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,33,2576,1,0,2402.5,3,35.0,34.3,0.0,0.0,0.0,0.0,0.5774,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.14,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,34,2576,1,0,2402.5,3,35.0,34.3,0.0,0.0,0.0,0.0,0.5774,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.14,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,35,2556,1,0,2402.5,3,35.0,34.82,0.0,0.0,0.0,0.0,0.5779,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.27,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,36,2533,1,0,2402.5,3,35.0,35.42,0.0,0.0,0.0,0.0,0.5785,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.42,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,37,2532,1,0,2402.5,3,35.0,35.44,0.0,0.0,0.0,0.0,0.5785,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.43,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,38,2534,1,0,2402.5,3,35.0,35.39,0.0,0.0,0.0,0.0,0.5784,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.41,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,39,2534,1,0,2402.5,3,35.0,35.39,0.0,0.0,0.0,0.0,0.5784,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.41,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,40,2515,1,0,2402.5,3,35.0,35.88,0.0,0.0,0.0,0.0,0.5789,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.54,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,41,2487,1,0,2402.5,3,35.0,36.61,0.0,0.0,0.0,0.0,0.5796,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.72,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
